# Effective trajectory extracted from charge-exchange data
# from 10.1103/PhysRevLett.37.76
#-t          dt          alpha       dalpha
0.002       0.004       0.491       0.012
0.006       0.004       0.474       0.011
0.012       0.008       0.474       0.010
0.020       0.008       0.471       0.009
0.028       0.008       0.453       0.009
0.040       0.016       0.439       0.008
0.056       0.016       0.422       0.008
0.072       0.016       0.427       0.008
0.090       0.020       0.393       0.007
0.110       0.020       0.387       0.008
0.140       0.040       0.344       0.007
0.180       0.040       0.326       0.008
0.220       0.040       0.294       0.010
0.260       0.040       0.248       0.012
0.310       0.060       0.208       0.013
0.370       0.060       0.184       0.020
0.450       0.100       0.123       0.031
0.550       0.100       0.040       0.067
0.650       0.100       0.052       0.064
0.750       0.100       -0.087      0.071
0.900       0.200       -0.141      0.064
1.100       0.200       -0.270      0.080
1.300       0.200       -0.398      0.128
